,playerName,player_bio,player_image,player_position
0,Lonzo Ball,http://www.nba.com/players/lonzo/ball/1628366,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png,Guard  
1,Michael Beasley,http://www.nba.com/players/michael/beasley/201563,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201563.png,Forward  
2,Isaac Bonga,http://www.nba.com/players/isaac/bonga/1629067,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png,Guard  
3,Kentavious Caldwell-Pope,http://www.nba.com/players/kentavious/caldwell-pope/203484,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png,Guard  
4,Alex Caruso,http://www.nba.com/players/alex/caruso/1627936,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png,Guard  
5,Josh Hart,http://www.nba.com/players/josh/hart/1628404,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png,Guard  
6,Brandon Ingram,http://www.nba.com/players/brandon/ingram/1627742,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,Forward  
7,LeBron James,http://www.nba.com/players/lebron/james/2544,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png,Forward  
8,Kyle Kuzma,http://www.nba.com/players/kyle/kuzma/1628398,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png,Forward  
9,JaVale McGee,http://www.nba.com/players/javale/mcgee/201580,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201580.png,Center  
10,Svi Mykhailiuk,http://www.nba.com/players/svi/mykhailiuk/1629004,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png,Guard  
11,Rajon Rondo,http://www.nba.com/players/rajon/rondo/200765,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200765.png,Guard  
12,Lance Stephenson,http://www.nba.com/players/lance/stephenson/202362,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202362.png,Guard  
13,Moritz Wagner,http://www.nba.com/players/moritz/wagner/1629021,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629021.png,Center  
14,Johnathan Williams,http://www.nba.com/players/johnathan/williams/1629140,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629140.png,Forward  
15,Ivica Zubac,http://www.nba.com/players/ivica/zubac/1627826,ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627826.png,Center  
